Round Number,Date,Location,Home Team,Away Team,Group,Result
Group,14-06-2018 18:00,"Luzhniki Stadium, Moscow",Russia,Saudi-Arabia,Group A,
Group,15-06-2018 15:00,Ekaterinburg Stadium,Egypt,Uruguay,Group A,
Group,15-06-2018 18:00,Saint Petersburg Stadium,Morocco,Iran,Group B,
Group,15-06-2018 21:00,"Fisht Stadium, Sochi",Portugal,Spain,Group B,
Group,16-06-2018 13:00,Kazan Arena,France,Australia,Group C,
Group,16-06-2018 16:00,"Otkrytiye Arena, Moscow",Argentina,Iceland,Group D,
Group,16-06-2018 19:00,Saransk Stadium,Peru,Denmark,Group C,
Group,16-06-2018 22:00,Kaliningrad Stadium,Croatia,Nigeria,Group D,
Group,17-06-2018 15:00,Samara Stadium,Costa-Rica,Serbia,Group E,
Group,17-06-2018 18:00,"Luzhniki Stadium, Moscow",Germany,Mexico,Group F,
Group,17-06-2018 21:00,Rostov-on-Don Stadium,Brazil,Switzerland,Group E,
Group,18-06-2018 15:00,Nizhny Novgorod Stadium,Sweden,South-Korea,Group F,
Group,18-06-2018 18:00,"Fisht Stadium, Sochi",Belgium,Panama,Group G,
Group,18-06-2018 21:00,Volgograd Stadium,Tunisia,England,Group G,
Group,19-06-2018 15:00,Saransk Stadium,Colombia,Japan,Group H,
Group,19-06-2018 18:00,"Otkrytiye Arena, Moscow",Poland,Senegal,Group H,
Group,19-06-2018 21:00,Saint Petersburg Stadium,Russia,Egypt,Group A,
Group,20-06-2018 15:00,"Luzhniki Stadium, Moscow",Portugal,Morocco,Group B,
Group,20-06-2018 18:00,Rostov-on-Don Stadium,Uruguay,Saudi-Arabia,Group A,
Group,20-06-2018 21:00,Kazan Arena,Iran,Spain,Group B,
Group,21-06-2018 15:00,Samara Stadium,Denmark,Australia,Group C,
Group,21-06-2018 18:00,Ekaterinburg Stadium,France,Peru,Group C,
Group,21-06-2018 21:00,Nizhny Novgorod Stadium,Argentina,Croatia,Group D,
Group,22-06-2018 15:00,Saint Petersburg Stadium,Brazil,Costa-Rica,Group E,
Group,22-06-2018 18:00,Volgograd Stadium,Nigeria,Iceland,Group D,
Group,22-06-2018 21:00,Kaliningrad Stadium,Serbia,Switzerland,Group E,
Group,23-06-2018 15:00,"Otkrytiye Arena, Moscow",Belgium,Tunisia,Group G,
Group,23-06-2018 18:00,Rostov-on-Don Stadium,South-Korea,Mexico,Group F,
Group,23-06-2018 21:00,"Fisht Stadium, Sochi",Germany,Sweden,Group F,
Group,24-06-2018 15:00,Nizhny Novgorod Stadium,England,Panama,Group G,
Group,24-06-2018 18:00,Ekaterinburg Stadium,Japan,Senegal,Group H,
Group,24-06-2018 21:00,Kazan Arena,Poland,Colombia,Group H,
Group,25-06-2018 17:00,Samara Stadium,Uruguay,Russia,Group A,
Group,25-06-2018 17:00,Volgograd Stadium,Saudi-Arabia,Egypt,Group A,
Group,25-06-2018 21:00,Saransk Stadium,Iran,Portugal,Group B,
Group,25-06-2018 21:00,Kaliningrad Stadium,Spain,Morocco,Group B,
Group,26-06-2018 17:00,"Luzhniki Stadium, Moscow",Denmark,France,Group C,
Group,26-06-2018 17:00,"Fisht Stadium, Sochi",Australia,Peru,Group C,
Group,26-06-2018 21:00,Saint Petersburg Stadium,Nigeria,Argentina,Group D,
Group,26-06-2018 21:00,Rostov-on-Don Stadium,Iceland,Croatia,Group D,
Group,27-06-2018 17:00,Ekaterinburg Stadium,Mexico,Sweden,Group F,
Group,27-06-2018 17:00,Kazan Arena,South-Korea,Germany,Group F,
Group,27-06-2018 21:00,"Otkrytiye Arena, Moscow",Serbia,Brazil,Group E,
Group,27-06-2018 21:00,Nizhny Novgorod Stadium,Switzerland,Costa-Rica,Group E,
Group,28-06-2018 17:00,Volgograd Stadium,Japan,Poland,Group H,
Group,28-06-2018 17:00,Samara Stadium,Senegal,Colombia,Group H,
Group,28-06-2018 21:00,Saransk Stadium,Panama,Tunisia,Group G,
Group,28-06-2018 21:00,Kaliningrad Stadium,England,Belgium,Group G,
Round of 16,30-06-2018 21:00,"Fisht Stadium, Sochi",Winner Group A,"Runner-up Group B	",,
Round of 16,30-06-2018 21:00,Kazan Arena,Winner Group C,Runner-up Group D,,
Round of 16,01-07-2018 17:00,"Luzhniki Stadium, Moscow",Winner Group B,"Runner-up Group A	",,
Round of 16,01-07-2018 21:00,Nizhny Novgorod Stadium,Winner Group D,Runner-up Group C,,
Round of 16,02-07-2018 17:00,Samara Stadium,Winner Group E,Runner-up Group F,,
Round of 16,02-07-2018 21:00,Rostov-on-Don Stadium,Winner Group G,Runner-up Group H,,
Round of 16,03-07-2018 17:00,Saint Petersburg Stadium,Winner Group F,Runner-up Group E,,
Round of 16,03-07-2018 21:00,"Otkrytiye Arena, Moscow",Winner Group H,Runner-up Group G,,
Quarter-Finals,06-07-2018 17:00,Nizhny Novgorod Stadium,To be announced,To be announced,,
Quarter-Finals,06-07-2018 21:00,Kazan Arena,To be announced,To be announced,,
Quarter-Finals,07-07-2018 17:00,Samara Stadium,To be announced,To be announced,,
Quarter-Finals,07-07-2018 21:00,"Fisht Stadium, Sochi",To be announced,To be announced,,
Semi-Finals,10-07-2018 21:00,Saint Petersburg Stadium,To be announced,To be announced,,
Semi-Finals,11-07-2018 21:00,"Luzhniki Stadium, Moscow",To be announced,To be announced,,
Final,14-07-2018 17:00,Saint Petersburg Stadium,To be announced,To be announced,,
Final,15-07-2018 18:00,"Luzhniki Stadium, Moscow",To be announced,To be announced,,
